,Job_title,company,location,skills_required
16,Software Engineer – PHP,Fingent - Full-time,Kochi,"PHP,Javascript,HTML5,Laravel,Codeigniter,Core PHP"
17,Software Engineer – Magento,Fingent - Full-time,Kochi,"Magento,Magento1.x, 2.X Versions, PHP, MySQL, MVC, Javascript, jQuery, KnockoutJS, PrototypeJS HTML and CSS."
18,Team Lead-Python,Fingent - Full-time,Kochi,"Python,Rest API, Django,Flask, AWS lambda"
19,DataBase Developer,Innovature Software Labs - Full-time,Kochi,"DBA,RDBMS,database designing,database development"
20,Software Engineer_Java,Innovature Software Labs - Full-time,Kochi,"Angular,spring boot,MVC,Spring,java ,Struts"
21,Product Support Specialist,Fingent - Full-time,Kochi,"Product Support and Implementation,Technical Suport,Voice Process,Chat Support"
22,Android and iOS developers,EY - Full-time,Kochi,"Java,C#,IOS,Kotlin"
23,Automation Test Engineer,Stabilix - Full-time,Trivandrum,Automation Test Engineer
24,Flutter Developers,Stabilix - Full-time,Trivandrum,Flutter developers
25,Business Development Executive,Neoito - Full-time,Trivandrum,business development executive
26,Project Manager,Neoito - Full-time,Trivandrum,Project Manager
27,Graphic Designer / Video Editor Intern,PIT Solutions Pvt Ltd - Full-time,Trivandrum,Graphic Designer / Video Editor Intern
28,Android developer,PIT Solutions Pvt Ltd - Full-time,Trivandrum,Java
29,FULL-STACK DEVELOPERS,AICORP - Full-time,Trivandrum,"HTML, CSS, C++, C# Knowledge in Web technologies is an added advantage"
30,Automation Test Engineer,Stabilix - Full-time,Trivandrum,Automation Test Engineer
31,SAP FICO - Consultant,Fingent - Full-time,Bangalore,"FICO,ECC implementation ,s/4 HANA Certification"
32,SAP ABAP Consultant,Fingent - Full-time,Bangalore,"ABAP,Odata,ricef,BAPI,IDOC,S/4 HANA Certification"
33,SAP SD Consultant,Fingent - Full-time,Kochi,"FICO,s4 hana implementation/migration,Sales & Distribution,OTC concept ,Copa,SAP HANA Sales certification"
34,DevOps Engineer – Microsoft,Fingent - Full-time,Kochi,"Kubernetes,SonarQube,GIT,Docker,Jenkins,Terraform,azure services,ci/cd pipelines,bash/python scripting,DevOps Azure"
35,Project Coordinator,Fingent - Full-time,Kochi,"DevOps,AWS,Linux Administration,Azure ,GCP,Project coordination,Client Management,Team coordination,DevOps Tools"
36,Jr. Software Engineer/Software Engineers – Flutter,Fingent - Full-time,Kochi,"Flutter,Firebase,RESTful API,Xcode,SQLite,Android Studio,json,ES6 Standard,Visual Code ,Realm Database"
37,Executive - HR,MUTHOOT PAPPACHAN TECHNOLOGIES LTD. - Full-time,Trivandrum,Executive - HR
38,React JS Developer,Planet Media - Full-time,Remote,ReactJS
39,C++ Developer,Infosys - Full-time,Bangalore,C++ Developers
40,SDN & Netconf Developer,Infosys - Full-time,Bangalore,SDN & Netconf Developer
41,Embedded C++ Developer,Infosys - Full-time,Bangalore,Embedded C++ Developer
42,Automation Network Engineer,Infosys - Full-time,Bangalore,Automation Network Engineer
43,APRISO Expert,Infosys - Full-time,Bangalore,APRISO Expert
44,Android Developer,Infosys - Full-time,Bangalore,Android developer
45,Aerospace Engineer,Infosys - Full-time,Bangalore,Aerospace Engineer
46,Open Stack Developer,Infosys - Full-time,Bangalore,Full Stack
47,Net React Developer,Infosys - Full-time,Bangalore,".NET,. net"
48,Net Developer,Infosys - Full-time,Mumbai,". Net, C #, WebAPI, Angular"
49,Net Azure Developer,Infosys - Full-time,Bangalore,Net Azure Developer
50,Azure Developer,Infosys - Full-time,Mumbai,Azure Developer
51,Software Engineer (ASP.NET with C#),Grand Trust InfoTech Pvt. Ltd. - Full-time,Kochi,"ASP.NET with C#) Skill Set C#.Net,ASP.NET, SQL,JQuery, Ajax"
52,Golang Developer,Bridge-global - Full-time,Kochi,Golang Developer
53,Business Analyst Interns,Bridge-global - Full-time,Kochi,"Bachelor's Degree (Preferably in Business Management), Good Communication"
54,Magento Pimcore Developer,Bridge-global - Full-time,Kochi,"Key Skills Magento 2 and above, Pimcore, theme integration, customization"
55,Lead PHP Developer,Bridge-global - Full-time,Kochi,PHP
56,Digital Marketing Interns,Bridge-global - Full-time,Kochi,"SEO,good communication skills"
57,Full Stack/Backend Python Developers,Bridge-global - Full-time,Kochi,Full Stack/Backend Python Developers
58,Senior Talent Acquisition Executives,Bridge-global - Full-time,Kochi,talent Acquisition Executives
59,Android Developers,Bridge-global - Full-time,Kochi,Android
60,Full Stack .NET Developers,Bridge-global - Full-time,Kochi,Full Stack .NET Developers
61,iOS Developers,Bridge-global - Full-time,Kochi,"IOS,iOS Developers"
62,Production Coordinator,TILT LABS - Full-time,Trivandrum,Production Coordinator
63,SDET - Lead Role,UST - Full-time,Trivandrum,"Automation Testing, Manual Testing,API Testing(Automation),BDD, Cucumber, Java Script Java as part of Automation,"
64,Business Development Manger-IT,Coddle Technologies Pvt Ltd - Full-time,Kozhikode ( Calicut ),"Open Source technologies,Team Management,Excellent communication,Market Research ,International Sales,International marketing,Web Application Development,mobility,IT Sales"
65,Financial Analyst,Cetacean Business Solutions LLP - Full-time,Kochi,"Team Management,MS office,Excellent communication,CA Inter"
66,Hiring Purchase Admin (Functional),Cetacean Business Solutions LLP - Full-time,Mumbai,"Windows,ERP,MS office,mechanical,JIRA,purchase,Zoho,support tools,purchase module"
67,"PHP TRAINEES(CODEIGNITER,LARAVEL)",Axnol Digital Solutions - Full-time,Remote,"PHP,Laravel,Codeigniter"
68,PHP CODEIGNITER WITH 1+ YEARS OF EXPERIENCE,Axnol Digital Solutions - Full-time,Remote,"PHP,Codeigniter"
69,PHP LARAVEL WITH 1+ YEARS OF EXPERIENCE,Axnol Digital Solutions - Full-time,Remote,"PHP,Laravel"
70,Senior Lighting Artist,TILTLABS - Full-time,Trivandrum,Lightning
71,Production Coordinator,TILTLABS - Full-time,Trivandrum,"Project Management,Team Management"
72,Sales force architect,Soutien HR - Full-time,Kochi,Salesforce
73,iOS Developer (2-3 Years) Swift / Objective C (Immediate):,Tranzmeo IT Solutions Private Limited - Full-time,Kochi,"Swift,Objective C"
74,Content Writer ( Immediate 1-2 yr),Tranzmeo IT Solutions Private Limited - Full-time,Kochi,"Technical Writer,Content Optimization,creative"
75,Digital Marketing Executive (1-2 yrs of experience),Tranzmeo IT Solutions Private Limited - Full-time,Kochi,"Digital Marketing,Technical"
76,HR & Admin(3-8 yrs Immediate),Tranzmeo IT Solutions Private Limited - Full-time,Kochi,"Recruitment,Leave Management,employee engagement,"
77,HR Executive (1-2 yrs Immediate),Tranzmeo IT Solutions Private Limited - Full-time,Kochi,"HR Recruitment,employee engagement,"
78,Android Kotlin Developer,Coddle Technologies Pvt Ltd - Full-time,Kozhikode ( Calicut ),"Android,Kotlin,MVVM,Payment gateway,Android SDK,Room DB,Jetpack"
79,Technical Project Manager,PIT Solutions Pvt Ltd - Full-time,Trivandrum,technical project manager
80,Embedded Engineer,Sequoia Applied Technologies - Full-time,Trivandrum,"embedded c,SPI,IoT,HTTP protocol,RTOS,mqtt"
81,React Full Stack Developer,Sequoia Applied Technologies - Full-time,Trivandrum,"REACT.JS , REACT , REDUX"
82,C# Engineer,Sequoia Applied Technologies - Full-time,Trivandrum,"C#, MVC,ASP.NET, REACT, ANGULAR"
83,Account Manager(Testing),Sequoia Applied Technologies - Full-time,Trivandrum,"Testing , API , Defect Management Tools , performance testing"
84,Technical Lead - Full Stack,Sequoia Applied Technologies - Full-time,Trivandrum,"REACTJS, AWS,AURORA"
85,UI/UX Designer,Sequoia Applied Technologies - Full-time,Trivandrum,"UI/UX , ADOBE XD , ILLUSTRATOR , HTML 5 , CSS3 , JAVASCRIPT , JQUERY and PHOTOSHOP"
86,Python Developer,Sequoia Applied Technologies - Full-time,Trivandrum,"Python, Django"
87,DevOps Engineers,Active Lobby - Full-time,Remote,DevOps Engineers
88,Recruiter from IT,Quest Global - Full-time,Bangalore,Recruiter from IT
89,Microservices,Zartek Technologies - Full-time,Kochi,Microservices
90,React JS developer,Zartek Technologies - Full-time,Kochi,React JS
91,Flutter developer,Zartek Technologies - Full-time,Kochi,FLUTTER DEVELOPER
92,Java Fullstack Developer,mykare health - Full-time,Remote,java full stack developer
93,Dot Net Developers,ConnectIN Jobs Global - Full-time,Trivandrum,"Web Services and API,.Net Core,.Net framework,Entity Framework,.NET/C#,ASP.net,ADO,asp.net core mvc"
94,React Native Developer - Experienced,Doctune Healthcare - Full-time,Kochi,React Js
95,React JS Developer - Experienced,Doctune Healthcare - Full-time,Kochi,React Native
96,Java Fullstack Developer,Doctune Healthcare - Full-time,Kochi,"React,Java,Android,React Native,spring boot,React Js"
97,Assistant General Manager,Himatsingka Seide - Full-time,Bangalore,Sales
98,Angular Developer,Polus Software - Full-time,Trivandrum,angulardeveloper
99,.NET Developers,Sinnonteq IT Consulting LLP - Full-time,Remote,.NET Developers
100,Vue.JS/Angular Front end,Sinnonteq IT Consulting LLP - Full-time,Remote,Vue.JS/Angular Front end
101,Flutter Developers,Sinnonteq IT Consulting LLP - Full-time,Remote,flutter development
102,Support Engineer,Ospyn Technologies Pvt Ltd - Full-time,Trivandrum,Support Engineer
103,Implementation Engineer-,Ospyn Technologies Pvt Ltd - Full-time,Trivandrum,Implementation Engineer
104,Junior QA Engineer,Ospyn Technologies Pvt Ltd - Full-time,Trivandrum,Junior QA Engineer
105,Software Engineer,Ospyn Technologies Pvt Ltd - Full-time,Trivandrum,Software Engineer
106,Senior QA Engineer,Ospyn Technologies Pvt Ltd - Full-time,Trivandrum,Senior QA Engineer
107,Senior Software Engineer/Lead Engineer,Ospyn Technologies Pvt Ltd - Full-time,Trivandrum,"Senior Software Engineer/Lead Engineer ,Java, Spring Boot and Web Technologies"
108,"Senior MERN Stack Developer.(Node.js ,React.js)",Coddle Technologies Pvt Ltd - Full-time,Kozhikode ( Calicut ),"Node.js,react.js,MERN Stack"
109,JUNIOR MERN STACK DEVELOPER.(Node.js/React.js),Coddle Technologies Pvt Ltd - Full-time,Kozhikode ( Calicut ),"Node.js,react.js,MERN Stack"
110,Junior Test Engineer,Coddle Technologies Pvt Ltd - Full-time,Kozhikode ( Calicut ),"Automation Testing,Selenium,Jenkins,manual testing,core java,Jira"
